event_name,event_url,filled_count,total_count,coverage_pct,missing_fields,scope_in_scope,has_conference_domain,has_conference_group_name,has_conference_group_description,has_industry_methodology,has_event_name,has_start_date,has_end_date,has_event_url,has_exhibitor_crawler_url,has_sponsor_crawler_url,has_venue_name,has_address_1,has_address_2,has_city,has_country,has_state_province,has_zip_code,has_event_description_methodology,has_hosting_entity,has_conference_group,has_industry,has_attending_companies,has_exhibitor_companies,has_exhibitor_company_websites,has_sponsor_companies,has_sponsor_company_websites,has_speakers
Allied Health Conference,https://internationalconferencealerts.com/conferences/sydney/health,18,27,66.7,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,True
Pioneering Medical Futures Summit,https://www.allconferencealert.com/sydney/medical/july,18,27,66.7,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,True
Global Medical Intelligence Conference,https://globalconference.ca/conference/41st-global-conference-on-machine-learning-and-artificial-intelligence,22,27,81.5,"address_2, attending_companies, exhibitor_companies, exhibitor_company_websites, speakers",True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,False,False,False,True,True,False
Clinical Sciences Exchange,https://tts2026.org,20,27,74.1,"address_1, address_2, state_province, zip_code, attending_companies, sponsor_companies, sponsor_company_websites",True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,True,True,False,False,True
Physical Therapy Conference,https://conferencealerts.co.in/australia/physical-therapy,18,27,66.7,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,True
Allergy Conference,https://waset.org/allergy-asthma-immunology-and-rheumatology-conference-in-september-2026-in-sydney,18,27,66.7,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,True
Pathology Conference,https://www.allconferencealert.com/australia/pathology,18,27,66.7,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,True
Cataract Conference,https://www.scholarmeet.com/icc-2026-20-international-conference-on-cataract-sydney-2026,19,27,70.4,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, speakers",True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,False,True,True,False
Critical Care Medicine Conference,https://internationalconferencealerts.com/conferences/sydney/critical-care,18,27,66.7,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,True
"Plastic, Reconstructive and Aesthetic Surgery Conference",https://plasticsurgery.org.au/event/47th-annual-asaps-conference,20,27,74.1,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites",True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,True,False,False,False,True,True,True
International Conference on Intellectual Property Management and Technology Transfer,https://waset.org/intellectual-property-management-and-technology-transfer-conference-in-december-2026-in-strasbourg,15,27,55.6,"exhibitor_crawler_url, sponsor_crawler_url, address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites, speakers",False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False
International Conference on Intellectual Property Management and Technology Transfer,https://waset.org/intellectual-property-management-and-technology-transfer-conference-in-november-2026-in-toronto,15,27,55.6,"exhibitor_crawler_url, sponsor_crawler_url, address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites, speakers",False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False
International Conference on Intellectual Property Management and Technology Transfer,https://waset.org/intellectual-property-management-and-technology-transfer-conference-in-september-2026-in-seoul,15,27,55.6,"exhibitor_crawler_url, sponsor_crawler_url, address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites, speakers",False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False
International Conference on Educational and Information Technology,https://www.iceit.org,16,27,59.3,"exhibitor_crawler_url, sponsor_crawler_url, address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",True,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,True
International Conference on Software and Computer Applications,https://internationalconferencealerts.com/eventdetails.php?id=101129937,15,27,55.6,"exhibitor_crawler_url, sponsor_crawler_url, address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites, speakers",False,True,True,True,True,True,True,True,True,False,False,True,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,False
