event_name,event_url,listing_url,needs_review,review_reasons,data_completeness,coverage_pct,filled_count,missing_fields,resolution_confidence,verified_field_count,llm_stripped,heuristic_stripped,scope_in_scope,scope_b2b,scope_networking,scope_evidence
Allied Health Conference,https://internationalconferencealerts.com/conferences/sydney/health,https://conferenceindex.org/event/allied-health-conference-allicare-2026-august-sydney-au,True,llm_ungrounded:4,partial,66.7,18,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",1.0,12,4,0,True,True,True,conference; forum
Pioneering Medical Futures Summit,https://www.allconferencealert.com/sydney/medical/july,https://conferenceindex.org/event/pioneering-medical-futures-summit-innoheal-2026-august-sydney-au,True,llm_ungrounded:4,partial,66.7,18,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",0.5625,12,4,0,True,True,True,conference; summit; forum
Global Medical Intelligence Conference,https://globalconference.ca/conference/41st-global-conference-on-machine-learning-and-artificial-intelligence,https://conferenceindex.org/event/global-medical-intelligence-conference-medintel-2026-august-sydney-au,True,llm_ungrounded:4; heuristic_ungrounded:41; program_not_published,full,81.5,22,"address_2, attending_companies, exhibitor_companies, exhibitor_company_websites, speakers",1.0,17,4,41,True,True,True,conference; forum
Clinical Sciences Exchange,https://tts2026.org,https://conferenceindex.org/event/clinical-sciences-exchange-clinscix-2026-august-sydney-au,True,llm_ungrounded:3; heuristic_ungrounded:65,full,74.1,20,"address_1, address_2, state_province, zip_code, attending_companies, sponsor_companies, sponsor_company_websites",1.0,15,3,65,True,True,True,conference; forum
Physical Therapy Conference,https://conferencealerts.co.in/australia/physical-therapy,https://conferenceindex.org/event/physical-therapy-conference-movewell-2026-august-sydney-au,True,llm_ungrounded:4,partial,66.7,18,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",1.0,12,4,0,True,True,True,conference; forum
Allergy Conference,https://waset.org/allergy-asthma-immunology-and-rheumatology-conference-in-september-2026-in-sydney,https://conferenceindex.org/event/allergy-conference-air-freedom-2026-august-sydney-au,True,llm_ungrounded:5,partial,66.7,18,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",1.0,11,5,0,True,True,True,conference; forum
Pathology Conference,https://www.allconferencealert.com/australia/pathology,https://conferenceindex.org/event/pathology-conference-lablink-2026-august-sydney-au,True,llm_ungrounded:4,partial,66.7,18,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",1.0,12,4,0,True,True,True,conference; forum
Cataract Conference,https://www.scholarmeet.com/icc-2026-20-international-conference-on-cataract-sydney-2026,https://conferenceindex.org/event/cataract-conference-eye-summit-2026-august-sydney-au,True,llm_ungrounded:4; heuristic_ungrounded:38; program_not_published,full,70.4,19,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, speakers",1.0,12,4,38,True,True,True,conference; forum
Critical Care Medicine Conference,https://internationalconferencealerts.com/conferences/sydney/critical-care,https://conferenceindex.org/event/critical-care-medicine-conference-life-support-2026-august-sydney-au,True,llm_ungrounded:4,partial,66.7,18,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",1.0,12,4,0,True,True,True,conference; forum
"Plastic, Reconstructive and Aesthetic Surgery Conference",https://plasticsurgery.org.au/event/47th-annual-asaps-conference,https://conferenceindex.org/event/plastic-reconstructive-and-aesthetic-surgery-conference-restore-art-2026-august-sydney-au,True,llm_ungrounded:3; heuristic_ungrounded:56,full,74.1,20,"address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites",1.0,14,3,56,True,True,True,conference; forum
International Conference on Intellectual Property Management and Technology Transfer,https://waset.org/intellectual-property-management-and-technology-transfer-conference-in-december-2026-in-strasbourg,https://conferenceindex.org/event/international-conference-on-intellectual-property-management-and-technology-transfer-icipmatt-2026-december-strasbourg-fr,True,llm_ungrounded:2,partial,55.6,15,"exhibitor_crawler_url, sponsor_crawler_url, address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites, speakers",1.0,15,2,0,False,True,False,conference; business
International Conference on Intellectual Property Management and Technology Transfer,https://waset.org/intellectual-property-management-and-technology-transfer-conference-in-november-2026-in-toronto,https://conferenceindex.org/event/international-conference-on-intellectual-property-management-and-technology-transfer-icipmatt-2026-november-toronto-ca,True,llm_ungrounded:2,partial,55.6,15,"exhibitor_crawler_url, sponsor_crawler_url, address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites, speakers",1.0,15,2,0,False,True,False,conference; business
International Conference on Intellectual Property Management and Technology Transfer,https://waset.org/intellectual-property-management-and-technology-transfer-conference-in-september-2026-in-seoul,https://conferenceindex.org/event/international-conference-on-intellectual-property-management-and-technology-transfer-icipmatt-2026-september-seoul-kr,True,llm_ungrounded:2,partial,55.6,15,"exhibitor_crawler_url, sponsor_crawler_url, address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites, speakers",1.0,15,2,0,False,True,False,conference; business
International Conference on Educational and Information Technology,https://www.iceit.org,https://conferenceindex.org/event/international-conference-on-educational-and-information-technology-iceit-2027-march-chongqing-cn,True,llm_ungrounded:2; heuristic_ungrounded:60,partial,59.3,16,"exhibitor_crawler_url, sponsor_crawler_url, address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites",1.0,14,2,60,True,True,False,conference
International Conference on Software and Computer Applications,https://internationalconferencealerts.com/eventdetails.php?id=101129937,https://conferenceindex.org/event/international-conference-on-software-and-computer-applications-icsca-2027-january-putrajaya-my,True,llm_ungrounded:3,partial,55.6,15,"exhibitor_crawler_url, sponsor_crawler_url, address_1, address_2, state_province, zip_code, attending_companies, exhibitor_companies, exhibitor_company_websites, sponsor_companies, sponsor_company_websites, speakers",1.0,14,3,0,False,True,False,conference
